tipo_de_cultivo,ph,tipo_de_suelo,humedad,temperatura,precipitacion,horas_de_sol,temporada
trigo,6.67,limoso,16.0,31.0,29.53,3.1,otoño
trigo,6.29,limoso,2.34,25.0,287.02,5.0,otoño
uva,6.69,limoso,75.62,30.0,179.81,15.6,verano
arroz,6.6,arcilloso,45.85,2.0,218.6,6.6,verano
zanahoria,6.23,limoso,28.92,33.0,94.61,7.1,primavera
naranjas,5.82,arenoso,90.01,25.0,117.94,9.2,primavera
maiz,6.07,arenoso,11.61,23.0,71.08,15.7,invierno
soja,6.34,arcilloso,95.59,25.0,29.09,3.9,primavera
maiz,6.43,arenoso,31.4,35.0,53.71,10.9,verano
soja,6.06,arenoso,88.84,23.0,239.25,11.5,verano
maiz,5.94,limoso,60.29,23.0,203.26,9.7,verano
uva,6.63,arenoso,82.67,40.0,164.08,1.4,otoño
naranjas,6.78,arcilloso,98.4,30.0,142.53,10.8,otoño
zanahoria,6.33,limoso,28.84,18.0,276.73,1.0,primavera
soja,5.97,rocoso,96.11,28.0,21.82,9.5,invierno
zanahoria,6.07,limoso,38.95,16.0,84.18,11.8,invierno
zanahoria,5.82,arcilloso,38.55,9.0,104.98,3.4,invierno
zanahoria,6.71,limoso,34.04,24.0,234.73,13.5,otoño
lentejas,5.92,limoso,54.14,37.0,297.75,0.5,verano
arroz,6.38,arcilloso,15.41,37.0,72.2,13.5,verano
maiz,6.07,limoso,55.37,14.0,262.29,7.4,otoño
zanahoria,6.35,arcilloso,54.17,21.0,249.19,3.5,invierno
maiz,6.45,arcilloso,76.19,8.0,67.4,2.1,invierno
zanahoria,6.63,rocoso,83.36,40.0,119.8,15.3,primavera
soja,6.01,arenoso,44.04,39.0,122.9,1.2,primavera
arroz,5.81,arenoso,30.23,26.0,293.47,3.2,invierno
arroz,5.94,limoso,25.93,32.0,54.27,5.6,otoño
uva,6.7,limoso,19.46,29.0,239.75,9.9,invierno
lentejas,6.67,rocoso,5.76,24.0,100.26,8.7,primavera
uva,6.4,rocoso,34.24,2.0,219.26,2.0,invierno
uva,6.4,rocoso,27.02,18.0,126.0,4.6,otoño
uva,6.47,arcilloso,96.64,27.0,173.51,3.8,verano
uva,5.98,rocoso,55.77,27.0,249.78,3.4,otoño
uva,6.71,rocoso,34.73,15.0,241.25,6.6,otoño
naranjas,6.22,limoso,58.05,38.0,259.93,11.3,primavera
arroz,6.18,rocoso,13.92,7.0,17.89,3.5,otoño
uva,6.32,arcilloso,44.4,20.0,207.62,5.9,otoño
zanahoria,5.85,arcilloso,62.62,28.0,42.0,6.3,primavera
arroz,5.97,limoso,48.89,28.0,124.75,15.6,primavera
arroz,6.54,rocoso,40.18,26.0,164.58,15.3,verano
trigo,5.88,rocoso,99.38,11.0,120.82,12.8,invierno
naranjas,6.4,arcilloso,88.03,6.0,155.88,3.9,otoño
uva,6.05,rocoso,62.34,25.0,298.96,1.1,primavera
maiz,6.19,rocoso,56.94,24.0,40.57,5.1,verano
soja,6.09,rocoso,62.07,7.0,202.64,4.3,invierno
lentejas,6.16,arenoso,20.13,28.0,118.8,8.1,primavera
zanahoria,6.52,limoso,39.51,18.0,39.9,12.4,invierno
maiz,6.1,arenoso,3.95,27.0,47.62,13.7,invierno
naranjas,6.37,limoso,47.55,33.0,284.78,13.5,otoño
soja,6.28,arcilloso,54.3,7.0,263.88,5.8,otoño
naranjas,6.46,rocoso,22.77,1.0,272.11,11.0,primavera
zanahoria,6.74,limoso,96.4,31.0,297.46,5.0,invierno
arroz,6.53,arenoso,90.95,24.0,62.49,1.0,primavera
soja,6.01,rocoso,72.21,28.0,106.63,11.2,primavera
arroz,5.83,arcilloso,53.34,34.0,200.77,0.2,invierno
zanahoria,6.06,limoso,87.0,32.0,145.14,6.5,primavera
maiz,6.4,limoso,13.07,38.0,125.52,5.3,invierno
zanahoria,5.85,limoso,79.05,21.0,107.34,11.1,invierno
maiz,6.3,rocoso,12.48,20.0,178.13,12.3,invierno
soja,6.4,arenoso,79.42,16.0,172.68,4.9,invierno
soja,6.13,arenoso,27.58,6.0,48.44,13.0,verano
uva,6.57,limoso,87.71,23.0,141.52,4.7,invierno
naranjas,5.91,arcilloso,94.4,11.0,166.04,7.1,otoño
uva,5.88,arcilloso,14.88,37.0,171.09,11.6,otoño
naranjas,6.53,arenoso,46.27,23.0,63.03,11.1,otoño
uva,6.3,arcilloso,98.1,24.0,222.68,15.8,invierno
arroz,6.49,arenoso,48.34,14.0,7.56,3.6,otoño
soja,6.23,limoso,86.35,2.0,106.45,10.6,verano
maiz,6.05,arenoso,58.87,1.0,234.06,9.8,primavera
naranjas,6.62,arenoso,37.53,17.0,169.17,14.6,invierno
zanahoria,6.6,limoso,28.58,3.0,78.35,2.5,otoño
naranjas,6.49,arcilloso,20.32,24.0,208.49,12.0,verano
maiz,6.07,arenoso,76.18,35.0,170.22,9.1,primavera
uva,6.39,arenoso,38.65,35.0,238.87,4.4,verano
naranjas,6.16,limoso,51.13,26.0,220.51,7.6,otoño
lentejas,5.89,arcilloso,49.23,8.0,183.03,5.3,verano
arroz,6.72,arenoso,57.73,35.0,146.45,9.3,primavera
soja,5.94,limoso,86.56,35.0,39.95,14.2,otoño
maiz,6.75,arenoso,98.07,8.0,78.4,9.1,primavera
soja,6.25,rocoso,40.76,29.0,125.73,10.1,verano
lentejas,5.99,limoso,82.75,11.0,179.79,8.3,invierno
naranjas,6.34,arcilloso,76.45,32.0,154.11,0.8,invierno
naranjas,6.67,arcilloso,57.35,40.0,86.46,3.7,invierno
zanahoria,6.53,arcilloso,95.6,1.0,1.94,7.9,invierno
lentejas,6.61,arcilloso,20.05,36.0,148.87,5.0,primavera
maiz,6.46,arenoso,10.93,25.0,85.69,2.9,invierno
zanahoria,6.49,arenoso,85.4,39.0,220.38,8.1,primavera
arroz,6.65,arcilloso,43.91,19.0,7.18,5.2,otoño
zanahoria,6.05,arcilloso,84.7,34.0,175.45,4.1,invierno
trigo,6.29,arcilloso,89.31,2.0,282.44,7.4,primavera
maiz,6.02,arenoso,6.25,13.0,52.32,2.1,invierno
trigo,6.79,arcilloso,88.35,3.0,141.49,14.8,invierno
lentejas,6.74,arcilloso,44.83,39.0,27.43,13.9,invierno
uva,5.84,rocoso,51.04,33.0,187.7,11.3,primavera
trigo,6.51,rocoso,62.66,34.0,165.16,1.7,verano
arroz,6.73,arcilloso,92.64,38.0,122.21,12.4,invierno
zanahoria,5.98,limoso,1.91,3.0,156.41,12.9,invierno
uva,6.37,arcilloso,47.68,15.0,268.97,12.3,otoño
zanahoria,6.72,rocoso,68.77,3.0,58.89,1.8,verano
trigo,5.83,limoso,72.27,8.0,6.77,10.3,primavera
zanahoria,6.5,limoso,69.25,9.0,258.5,13.3,otoño
lentejas,6.1,arcilloso,13.44,19.0,173.14,9.2,invierno
uva,6.72,rocoso,29.94,11.0,267.2,10.3,otoño
lentejas,6.77,rocoso,35.87,4.0,179.08,7.3,otoño
trigo,6.74,limoso,80.44,7.0,243.05,8.5,invierno
lentejas,6.27,arcilloso,27.88,6.0,128.9,0.6,verano
arroz,6.66,arenoso,21.07,39.0,224.96,10.2,verano
trigo,6.64,arenoso,95.74,30.0,273.91,1.3,otoño
trigo,6.12,rocoso,0.89,39.0,171.64,7.0,invierno
trigo,6.63,arenoso,99.78,18.0,54.24,4.7,primavera
maiz,5.84,rocoso,67.68,11.0,80.64,8.7,otoño
zanahoria,6.4,rocoso,82.85,32.0,59.59,2.1,primavera
maiz,6.03,rocoso,29.46,13.0,74.06,11.1,otoño
maiz,5.92,arenoso,1.43,12.0,91.92,12.7,otoño
arroz,5.88,rocoso,73.79,9.0,166.54,2.6,invierno
uva,6.5,limoso,83.41,5.0,176.4,1.7,invierno
zanahoria,6.14,arcilloso,74.05,10.0,127.95,2.3,primavera
lentejas,6.52,arcilloso,14.29,14.0,184.63,14.0,primavera
naranjas,5.87,rocoso,75.34,27.0,24.47,8.5,verano
trigo,6.12,arcilloso,76.89,3.0,26.34,7.5,invierno
lentejas,6.34,arenoso,65.85,8.0,51.55,1.7,otoño
trigo,6.59,arenoso,76.61,32.0,155.42,10.4,otoño
arroz,6.12,arcilloso,84.59,6.0,64.2,13.9,verano
trigo,6.43,arenoso,61.36,14.0,84.99,13.3,invierno
maiz,6.69,arcilloso,8.86,35.0,120.09,10.0,otoño
zanahoria,6.42,arcilloso,48.76,6.0,243.56,1.2,verano
naranjas,6.03,arcilloso,7.76,3.0,4.16,1.8,verano
soja,5.82,rocoso,40.75,19.0,194.81,0.8,otoño
trigo,6.67,arcilloso,40.71,12.0,200.66,4.1,otoño
lentejas,5.82,rocoso,6.6,23.0,239.6,2.2,primavera
maiz,6.67,arcilloso,34.88,32.0,279.83,4.2,invierno
soja,6.33,arcilloso,11.1,5.0,6.04,6.2,primavera
naranjas,6.74,arcilloso,80.82,23.0,46.14,15.1,verano
soja,6.6,arenoso,94.77,20.0,265.85,9.8,otoño
maiz,6.8,rocoso,7.23,6.0,137.56,13.4,primavera
zanahoria,6.15,rocoso,95.51,25.0,169.38,11.4,verano
zanahoria,6.57,arcilloso,52.26,11.0,198.91,1.8,invierno
uva,6.2,arcilloso,29.96,20.0,203.72,11.8,otoño
zanahoria,6.28,arenoso,7.69,3.0,279.52,4.4,primavera
uva,6.43,arenoso,50.06,18.0,299.08,10.2,invierno
soja,6.67,arenoso,79.45,12.0,216.05,5.5,primavera
arroz,6.78,rocoso,70.71,33.0,86.17,16.0,verano
lentejas,6.57,rocoso,5.02,2.0,263.93,4.2,invierno
lentejas,6.22,rocoso,7.29,17.0,14.77,4.5,primavera
soja,6.22,arcilloso,40.29,18.0,69.32,14.9,invierno
trigo,6.54,rocoso,29.53,29.0,269.22,0.4,verano
trigo,6.04,limoso,23.24,23.0,76.86,11.1,invierno
zanahoria,5.91,limoso,28.1,27.0,66.2,11.6,primavera
lentejas,6.15,arenoso,80.35,31.0,41.44,13.4,verano
lentejas,6.09,rocoso,92.92,34.0,257.73,15.6,otoño
uva,6.1,limoso,40.51,13.0,150.02,15.6,primavera
arroz,6.03,arenoso,90.61,22.0,202.47,1.0,primavera
maiz,5.84,rocoso,32.15,34.0,71.72,13.1,verano
trigo,5.82,arcilloso,47.64,40.0,227.41,10.3,verano
lentejas,6.79,limoso,22.6,36.0,228.0,10.4,otoño
uva,6.23,arcilloso,64.05,15.0,93.78,2.1,primavera
naranjas,6.18,rocoso,97.9,8.0,123.2,10.4,verano
uva,6.48,limoso,60.35,20.0,62.91,15.7,otoño
trigo,6.02,rocoso,35.78,30.0,292.97,14.6,otoño
trigo,6.75,arcilloso,64.78,20.0,193.68,7.0,verano
uva,6.59,limoso,12.29,19.0,280.36,0.6,primavera
maiz,5.89,arcilloso,88.87,34.0,91.02,5.8,invierno
soja,6.22,rocoso,50.31,14.0,234.57,13.2,invierno
trigo,6.68,rocoso,44.93,34.0,229.76,11.2,otoño
uva,6.74,arcilloso,58.59,16.0,207.5,7.3,invierno
lentejas,6.27,limoso,62.48,13.0,289.69,0.9,invierno
uva,6.41,arcilloso,7.18,18.0,118.07,6.8,verano
arroz,5.97,rocoso,68.26,30.0,39.22,7.5,otoño
soja,6.79,arcilloso,24.19,5.0,201.51,14.9,primavera
naranjas,6.03,rocoso,71.4,8.0,218.79,10.3,otoño
maiz,6.74,arcilloso,82.25,38.0,172.52,5.0,verano
zanahoria,6.45,limoso,80.4,7.0,62.05,8.4,invierno
naranjas,6.41,limoso,55.25,23.0,151.34,1.1,primavera
soja,6.31,arcilloso,52.02,23.0,93.66,15.6,otoño
soja,6.03,arcilloso,14.29,20.0,128.24,5.8,invierno
soja,5.98,limoso,77.53,26.0,193.57,7.6,otoño
naranjas,6.02,rocoso,27.14,9.0,223.56,5.7,primavera
lentejas,5.99,limoso,49.67,22.0,69.67,10.9,otoño
soja,6.58,rocoso,28.43,15.0,121.6,10.6,otoño
uva,6.15,arcilloso,13.38,26.0,80.75,11.4,otoño
naranjas,5.86,arcilloso,62.96,6.0,59.59,4.3,invierno
zanahoria,6.77,rocoso,5.43,23.0,235.02,5.1,primavera
soja,6.68,arcilloso,74.86,7.0,272.78,2.0,primavera
uva,6.73,rocoso,31.76,11.0,111.07,10.5,invierno
lentejas,6.79,arenoso,0.01,9.0,225.38,0.6,invierno
arroz,5.97,limoso,51.11,7.0,269.1,9.6,invierno
lentejas,6.2,arenoso,4.69,33.0,253.84,13.9,verano
zanahoria,6.56,rocoso,27.62,11.0,54.84,14.3,otoño
soja,6.5,limoso,70.7,37.0,286.89,7.2,otoño
zanahoria,5.95,rocoso,6.27,39.0,113.0,7.3,primavera
naranjas,6.62,limoso,83.93,23.0,101.77,1.2,otoño
trigo,6.02,limoso,0.38,6.0,18.73,10.7,verano
soja,6.02,limoso,24.68,15.0,145.85,13.1,invierno
trigo,6.34,limoso,74.09,32.0,32.7,3.9,primavera
uva,6.39,rocoso,31.63,15.0,74.56,6.7,primavera
arroz,6.38,limoso,10.19,3.0,95.08,13.4,otoño
maiz,5.89,limoso,36.02,22.0,242.65,14.0,primavera
zanahoria,6.68,arenoso,27.04,34.0,262.65,3.9,invierno
lentejas,6.07,arcilloso,84.27,32.0,90.74,8.8,primavera
arroz,5.93,arcilloso,31.33,7.0,257.61,3.1,invierno
soja,6.69,arenoso,78.89,27.0,257.17,1.6,verano
trigo,6.76,arenoso,89.19,9.0,229.4,14.6,verano
lentejas,6.66,rocoso,43.38,9.0,44.01,13.1,invierno
trigo,6.61,rocoso,90.99,35.0,207.1,12.2,otoño
naranjas,6.46,rocoso,37.73,10.0,283.51,0.8,primavera
trigo,6.35,arenoso,96.41,11.0,204.76,13.5,otoño
naranjas,5.89,arenoso,8.93,0.0,99.49,7.0,primavera
uva,6.21,limoso,68.7,35.0,150.17,5.5,verano
lentejas,6.17,rocoso,49.38,32.0,193.72,8.7,verano
lentejas,6.06,rocoso,38.76,25.0,153.17,1.5,verano
maiz,6.52,rocoso,63.27,30.0,35.99,12.1,primavera
soja,6.3,arcilloso,70.39,6.0,93.62,9.3,verano
naranjas,5.88,limoso,0.44,18.0,240.72,3.0,verano
maiz,6.02,rocoso,16.7,14.0,258.43,3.0,verano
trigo,6.48,rocoso,71.3,4.0,41.19,2.9,verano
trigo,5.88,rocoso,66.64,19.0,285.72,0.9,otoño
maiz,6.65,arcilloso,96.6,37.0,98.65,9.4,verano
lentejas,6.3,arcilloso,76.1,2.0,198.69,13.4,verano
trigo,6.28,arenoso,95.08,12.0,225.55,0.3,otoño
zanahoria,6.39,limoso,70.25,8.0,243.58,0.8,otoño
uva,6.62,arenoso,29.81,10.0,283.72,9.2,primavera
uva,6.15,limoso,10.54,36.0,93.88,13.1,invierno
zanahoria,6.48,arcilloso,78.18,19.0,257.55,5.2,verano
maiz,6.37,rocoso,64.41,19.0,39.51,5.6,verano
zanahoria,6.07,arenoso,4.82,30.0,211.51,9.5,verano
naranjas,6.68,rocoso,36.01,6.0,222.59,4.4,primavera
naranjas,6.6,arenoso,95.68,19.0,203.32,0.4,verano
maiz,6.46,arcilloso,50.04,17.0,75.69,11.8,invierno
zanahoria,6.65,arcilloso,43.27,24.0,261.91,10.0,otoño
naranjas,6.67,arcilloso,45.77,40.0,50.66,9.3,primavera
lentejas,6.51,arenoso,20.89,31.0,16.09,11.9,otoño
zanahoria,6.64,limoso,36.87,16.0,215.24,10.8,verano
lentejas,6.5,arenoso,36.98,33.0,142.64,3.3,verano
naranjas,6.48,limoso,5.24,7.0,254.73,5.6,verano
uva,6.42,arenoso,76.76,1.0,115.02,2.0,invierno
naranjas,6.55,arenoso,41.65,8.0,50.48,2.1,invierno
lentejas,5.96,arcilloso,82.22,14.0,250.93,10.8,primavera
arroz,6.68,rocoso,85.03,20.0,164.67,13.7,otoño
soja,6.67,rocoso,21.2,25.0,56.76,15.4,verano
trigo,5.83,limoso,65.74,36.0,216.12,10.1,verano
zanahoria,6.63,rocoso,47.23,20.0,153.33,2.9,verano
arroz,5.93,arenoso,88.02,20.0,181.29,1.7,verano
naranjas,6.14,arenoso,21.57,2.0,138.27,13.0,invierno
uva,6.54,arcilloso,67.78,1.0,248.61,9.3,otoño
maiz,5.96,arcilloso,60.78,22.0,248.87,9.9,otoño
naranjas,6.62,rocoso,29.53,18.0,212.82,12.5,primavera
uva,6.63,limoso,13.66,34.0,31.62,11.3,invierno
soja,6.31,rocoso,65.16,6.0,251.66,13.4,verano
naranjas,5.81,rocoso,73.86,1.0,201.3,0.9,otoño
lentejas,6.09,rocoso,31.56,18.0,209.11,12.0,otoño
maiz,6.42,rocoso,64.48,9.0,108.89,13.6,invierno
uva,6.78,arenoso,39.51,2.0,263.78,4.6,primavera
uva,6.43,limoso,71.32,29.0,217.61,10.2,primavera
uva,6.06,arenoso,19.92,4.0,33.78,5.0,verano
soja,6.43,limoso,89.02,24.0,122.33,15.3,primavera
naranjas,6.34,arcilloso,28.74,11.0,265.91,0.5,otoño
soja,6.58,rocoso,36.78,7.0,14.16,9.3,primavera
zanahoria,5.91,arenoso,5.81,15.0,288.42,2.7,verano
trigo,6.56,limoso,11.15,32.0,203.75,11.4,otoño
trigo,6.34,arcilloso,51.59,16.0,189.41,2.8,primavera
zanahoria,6.76,arcilloso,26.76,30.0,81.17,3.8,primavera
naranjas,6.14,rocoso,83.55,5.0,74.64,7.9,invierno
lentejas,6.43,limoso,1.47,31.0,282.62,14.6,verano
soja,6.73,arenoso,37.91,9.0,89.48,3.4,primavera
maiz,5.9,rocoso,33.73,27.0,232.65,2.3,invierno
uva,6.74,arenoso,1.93,23.0,117.94,12.1,otoño
uva,6.49,arcilloso,12.44,37.0,41.78,8.0,invierno
naranjas,5.87,arenoso,41.36,15.0,3.21,14.6,invierno
lentejas,6.1,arenoso,49.29,3.0,163.28,2.3,primavera
trigo,6.51,rocoso,40.43,1.0,292.73,10.3,primavera
trigo,5.87,arenoso,53.09,33.0,110.74,3.7,primavera
uva,6.38,rocoso,59.51,21.0,107.16,2.5,invierno
naranjas,6.15,arcilloso,0.99,31.0,103.23,10.9,otoño
soja,6.42,rocoso,46.41,9.0,156.16,9.5,verano
trigo,5.85,rocoso,96.35,14.0,132.2,12.1,invierno
soja,6.67,limoso,51.9,1.0,263.97,5.0,primavera
lentejas,6.77,arenoso,67.75,38.0,151.66,7.2,verano
trigo,6.77,arcilloso,31.19,27.0,152.33,6.5,otoño
trigo,6.55,rocoso,77.4,37.0,41.51,15.7,verano
arroz,5.93,arcilloso,77.29,11.0,294.82,4.7,primavera
trigo,6.56,limoso,52.13,24.0,74.99,4.7,invierno
zanahoria,5.82,arenoso,97.6,27.0,22.01,5.7,invierno
maiz,5.82,rocoso,12.56,13.0,198.94,9.0,primavera
zanahoria,6.12,arenoso,1.69,34.0,178.61,4.0,invierno
naranjas,6.29,limoso,77.02,38.0,124.54,14.6,primavera
naranjas,6.57,limoso,80.72,35.0,126.66,4.3,invierno
soja,6.48,arcilloso,12.02,30.0,235.52,14.3,invierno
zanahoria,6.25,rocoso,26.56,11.0,58.71,1.7,invierno
zanahoria,6.07,arcilloso,1.76,11.0,246.08,10.5,otoño
zanahoria,6.8,limoso,29.33,39.0,194.62,14.5,otoño
lentejas,6.23,arenoso,77.31,0.0,125.69,2.7,primavera
trigo,6.25,arcilloso,51.8,29.0,137.41,15.5,otoño
maiz,5.96,arcilloso,34.81,28.0,76.99,7.2,primavera
soja,6.59,arenoso,37.17,25.0,225.63,15.1,verano
zanahoria,6.49,arcilloso,0.14,40.0,153.86,10.8,verano
zanahoria,6.02,arenoso,29.98,12.0,96.26,4.8,otoño
arroz,5.88,rocoso,64.65,14.0,178.82,3.0,verano
soja,6.48,arenoso,97.42,3.0,298.72,4.9,verano
zanahoria,6.45,rocoso,84.71,18.0,130.58,1.5,invierno
soja,6.07,arenoso,2.36,10.0,276.21,2.3,invierno
trigo,6.75,limoso,89.86,14.0,103.51,1.7,primavera
arroz,5.95,limoso,78.32,33.0,16.42,6.8,verano
soja,6.23,rocoso,78.04,37.0,61.27,12.7,primavera
maiz,6.74,rocoso,45.8,7.0,125.61,2.3,primavera
maiz,6.22,limoso,39.8,15.0,65.89,2.1,verano
naranjas,6.44,rocoso,30.29,37.0,0.07,10.3,otoño
arroz,6.2,arenoso,6.57,2.0,274.5,3.2,verano
arroz,6.07,arenoso,22.82,4.0,253.16,1.6,invierno
naranjas,6.78,limoso,24.66,7.0,222.69,2.7,verano
soja,6.21,arcilloso,48.41,24.0,50.34,14.8,otoño
arroz,6.69,arenoso,74.74,6.0,36.11,13.1,primavera
maiz,6.03,rocoso,47.38,39.0,20.28,5.7,primavera
maiz,6.01,arcilloso,5.78,18.0,217.21,10.5,invierno
zanahoria,5.83,arcilloso,95.78,20.0,278.64,8.6,invierno
trigo,6.45,arenoso,94.27,10.0,129.16,10.8,invierno
arroz,6.17,arenoso,78.52,19.0,35.74,10.9,primavera
soja,6.66,arcilloso,99.13,26.0,153.72,10.1,invierno
naranjas,6.27,arcilloso,54.45,30.0,104.65,4.3,verano
naranjas,6.77,limoso,96.28,30.0,112.45,0.6,primavera
soja,5.99,rocoso,7.56,23.0,186.4,7.3,otoño
lentejas,6.67,limoso,36.57,36.0,215.62,14.3,primavera
uva,6.58,arenoso,22.54,33.0,33.18,9.1,verano
trigo,6.57,limoso,19.58,30.0,10.68,13.3,verano
naranjas,6.64,limoso,14.08,2.0,298.3,15.9,invierno
arroz,6.56,limoso,62.24,0.0,69.82,2.6,primavera
trigo,6.43,limoso,78.13,8.0,16.15,11.1,primavera
arroz,5.93,rocoso,57.83,27.0,56.96,10.8,primavera
lentejas,5.83,rocoso,14.7,16.0,11.69,15.7,otoño
maiz,6.72,arcilloso,81.11,16.0,117.54,15.8,invierno
trigo,6.42,arenoso,63.6,35.0,240.72,11.0,verano
zanahoria,6.6,limoso,38.82,36.0,102.37,3.9,verano
naranjas,6.28,arcilloso,67.41,36.0,133.26,12.8,invierno
trigo,5.92,arcilloso,25.99,13.0,202.68,1.7,verano
trigo,5.93,arcilloso,34.52,28.0,152.67,12.5,verano
trigo,6.49,rocoso,91.75,11.0,258.43,14.6,invierno
uva,6.23,limoso,29.05,8.0,259.81,6.1,verano
trigo,6.0,limoso,47.0,7.0,2.97,10.1,primavera
arroz,6.29,arenoso,89.01,14.0,233.41,6.9,otoño
maiz,5.86,limoso,70.77,17.0,138.22,7.0,invierno
lentejas,6.38,limoso,6.22,33.0,296.65,5.0,otoño
soja,6.07,arcilloso,14.73,5.0,144.97,12.2,verano
trigo,6.6,arenoso,0.78,29.0,296.07,15.0,verano
naranjas,6.11,limoso,63.09,21.0,226.37,15.1,primavera
trigo,6.26,rocoso,44.77,12.0,74.58,2.8,invierno
naranjas,5.81,limoso,13.43,20.0,161.52,14.0,verano
arroz,5.87,arcilloso,95.79,12.0,297.64,11.8,invierno
naranjas,6.19,rocoso,52.97,24.0,257.26,4.0,invierno
zanahoria,6.28,arcilloso,24.19,17.0,29.21,1.1,invierno
soja,6.4,limoso,50.06,7.0,211.91,4.3,invierno
maiz,6.09,rocoso,67.96,5.0,103.67,14.6,invierno
naranjas,6.49,arenoso,7.62,22.0,2.09,10.1,otoño
naranjas,6.66,arenoso,27.47,36.0,121.04,11.5,primavera
maiz,6.58,rocoso,80.7,14.0,70.43,4.1,invierno
soja,5.84,rocoso,45.97,29.0,245.66,11.5,otoño
trigo,6.28,arcilloso,54.66,26.0,101.2,0.4,verano
naranjas,5.9,rocoso,43.28,37.0,248.26,6.0,invierno
maiz,6.04,arcilloso,4.39,33.0,0.18,10.0,verano
zanahoria,6.79,limoso,16.57,23.0,92.35,2.3,invierno
zanahoria,5.94,arcilloso,44.55,26.0,72.35,13.2,otoño
arroz,6.3,rocoso,20.92,36.0,70.07,3.8,otoño
maiz,6.42,rocoso,5.0,16.0,20.46,10.4,otoño
arroz,6.5,limoso,84.36,13.0,56.14,6.5,primavera
zanahoria,6.36,rocoso,98.12,0.0,166.66,9.5,verano
soja,5.81,rocoso,79.31,33.0,87.41,1.7,primavera
trigo,6.13,arenoso,85.38,32.0,125.22,0.3,invierno
maiz,6.32,arenoso,24.2,4.0,113.06,14.6,verano
lentejas,5.89,limoso,96.06,23.0,262.77,4.3,otoño
zanahoria,6.15,arcilloso,19.69,19.0,271.59,13.1,verano
zanahoria,5.83,arenoso,95.14,5.0,147.89,16.0,otoño
lentejas,5.88,arcilloso,99.48,39.0,99.05,3.4,primavera
uva,6.2,rocoso,71.17,9.0,32.04,4.2,primavera
zanahoria,5.93,arenoso,98.11,3.0,286.02,10.6,otoño
naranjas,6.37,limoso,56.95,24.0,18.07,15.4,otoño
soja,6.49,limoso,25.95,30.0,89.3,14.7,invierno
maiz,6.6,limoso,43.7,1.0,89.42,8.0,primavera
lentejas,6.0,arenoso,59.36,26.0,96.12,12.7,primavera
naranjas,5.97,arcilloso,7.31,21.0,49.29,2.2,invierno
lentejas,5.9,rocoso,62.23,4.0,234.95,15.6,primavera
maiz,6.44,arcilloso,98.12,7.0,36.75,15.4,otoño
arroz,6.51,arcilloso,19.01,23.0,190.47,2.6,verano
maiz,5.83,rocoso,79.26,12.0,37.15,4.8,verano
uva,6.74,rocoso,90.79,38.0,21.16,1.6,primavera
maiz,5.85,arenoso,94.37,33.0,272.83,4.3,invierno
maiz,6.34,arenoso,96.01,39.0,57.04,13.1,otoño
uva,6.51,arenoso,52.15,10.0,246.38,6.1,verano
soja,6.67,arenoso,97.73,39.0,163.39,1.4,otoño
zanahoria,6.51,arenoso,75.73,17.0,23.36,5.5,primavera
maiz,6.6,rocoso,16.17,14.0,286.63,15.7,primavera
uva,6.14,arcilloso,47.69,2.0,74.09,10.1,verano
naranjas,6.61,arenoso,71.83,2.0,257.89,6.7,primavera
arroz,5.88,arenoso,24.73,28.0,50.64,2.7,invierno
arroz,6.69,arcilloso,64.06,18.0,256.18,15.8,primavera
maiz,6.35,arenoso,66.66,9.0,3.97,13.1,primavera
soja,6.62,arcilloso,16.27,25.0,153.53,4.5,primavera
soja,6.25,arcilloso,56.51,10.0,230.83,1.1,otoño
naranjas,6.44,rocoso,77.16,23.0,280.44,0.9,otoño
maiz,6.33,limoso,49.89,14.0,272.76,1.9,verano
arroz,6.53,rocoso,1.21,33.0,245.89,9.3,verano
soja,5.88,limoso,0.9,33.0,266.46,14.9,verano
maiz,5.86,limoso,35.7,19.0,59.77,7.9,primavera
lentejas,6.05,limoso,92.62,14.0,85.26,13.5,otoño
soja,5.96,arenoso,22.87,15.0,86.69,7.1,invierno
uva,6.67,rocoso,63.44,32.0,113.12,11.3,primavera
lentejas,6.02,limoso,22.21,13.0,118.0,11.7,primavera
zanahoria,6.78,arcilloso,32.17,8.0,163.37,2.8,primavera
soja,6.14,arenoso,84.8,3.0,47.96,5.8,invierno
arroz,5.98,rocoso,72.89,19.0,207.37,10.2,verano
trigo,6.59,limoso,9.54,19.0,50.27,1.1,invierno
lentejas,6.46,arcilloso,42.87,34.0,93.09,5.8,verano
zanahoria,6.3,rocoso,2.92,9.0,151.0,8.6,invierno
naranjas,6.36,rocoso,48.09,15.0,238.93,15.9,otoño
naranjas,6.52,arenoso,66.24,32.0,221.84,7.6,primavera
arroz,6.03,rocoso,11.85,33.0,193.66,13.1,primavera
soja,6.8,arenoso,28.89,15.0,46.73,6.9,primavera
maiz,6.77,limoso,39.78,18.0,164.11,12.7,verano
soja,6.45,arenoso,91.95,12.0,26.23,9.5,invierno
arroz,6.0,arcilloso,99.33,37.0,113.21,14.2,otoño
naranjas,6.48,arenoso,4.49,5.0,124.05,6.6,invierno
soja,5.87,arcilloso,76.1,37.0,11.94,9.7,primavera
naranjas,5.83,arenoso,37.17,27.0,82.2,10.1,otoño
lentejas,6.06,rocoso,39.25,21.0,286.69,6.7,otoño
